MediaName,ReleaseYear,Genres
Mushoku Tensei: Jobless Reincarnation,2021,"Animation, Action & Adventure"
Amor Real,2003,"Soap, Drama"
The Boat,2011,"Action & Adventure, Mystery"
The Owl House,2020,"Animation, Sci-Fi & Fantasy"
Insatiable,2018,"Drama, Comedy"
The Haunting of Hill House,2018,"Mystery, Drama"
Adventure Time,2010,"Animation, Comedy"
Chilling Adventures of Sabrina,2018,"Mystery, Sci-Fi & Fantasy"
The Gifted,2017,"Sci-Fi & Fantasy, Action & Adventure"
His Dark Materials,2019,"Sci-Fi & Fantasy, Drama"
What If...?,2021,"Animation, Action & Adventure"
All of Us Are Dead,2022,"Action & Adventure, Drama"
Demon Slayer: Kimetsu no Yaiba,2019,"Animation, Action & Adventure"
True Detective,2014,"Drama, Mystery"
Xena: Warrior Princess,1995,"Drama, Action & Adventure"
Moon Knight,2022,"Action & Adventure, Sci-Fi & Fantasy"
El Capo,2009,"Crime, Drama"
Young Justice,2010,"Animation, Sci-Fi & Fantasy"
Doom Patrol,2019,"Sci-Fi & Fantasy, Drama"
Better Call Saul,2015,"Crime, Drama"
Rick and Morty,2013,"Animation, Comedy"
Outlander,2014,"Drama, Sci-Fi & Fantasy"
Shadow and Bone,2021,"Drama, Sci-Fi & Fantasy"
The OA,2016,"Sci-Fi & Fantasy, Mystery"
Cowboy Bebop,1998,"Animation, Action & Adventure"
Ozark,2017,"Crime, Drama"
Shameless,2011,"Drama, Comedy"
El Chapo,2017,"Drama, Crime"
Elfen Lied,2004,"Action & Adventure, Animation"
Fear the Walking Dead,2015,"Action & Adventure, Drama"
Titans,2018,"Drama, Action & Adventure"
Legacies,2018,"Sci-Fi & Fantasy, Drama"
Dragon Ball Super,2015,"Animation, Action & Adventure"
Peaky Blinders,2013,"Drama, Crime"
Sex and the City,1998,"Comedy, Drama"
Rosario Tijeras,2016,"Drama, Crime"
The Fresh Prince of Bel-Air,1990,"Comedy, Family"
Marvel's Jessica Jones,2015,"Sci-Fi & Fantasy, Drama"
The Last Kingdom,2015,"Action & Adventure, Drama"
Reacher,2022,"Action & Adventure, Crime"
Chicago P.D.,2014,"Crime, Drama"
Cobra Kai,2018,"Action & Adventure, Drama"
Steven Universe,2013,"Animation, Comedy"
Pablo Escobar: The Drug Lord,2012,"Crime, Drama"
Elementary,2012,"Drama, Mystery"
Pokémon,1997,"Animation, Action & Adventure"
Hawkeye,2021,"Drama, Comedy"
CSI: Miami,2002,"Drama, Mystery"
The Magicians,2015,"Drama, Sci-Fi & Fantasy"
Rebelde,2004,"Comedy, Soap"
The Rising of the Shield Hero,2019,"Animation, Action & Adventure"
Hawaii Five-0,2010,"Crime, Drama"
Marvel's Agents of S.H.I.E.L.D.,2013,"Drama, Sci-Fi & Fantasy"
Teen Wolf,2011,"Sci-Fi & Fantasy, Drama"
Good Omens,2019,"Sci-Fi & Fantasy, Comedy"
DC's Stargirl,2020,"Sci-Fi & Fantasy, Action & Adventure"
The Orville,2017,"Drama, Comedy"
Cyberpunk: Edgerunners,2022,"Action & Adventure, Animation"
Castlevania,2017,"Animation, Sci-Fi & Fantasy"
INVINCIBLE,2021,"Animation, Sci-Fi & Fantasy"
Sense8,2015,"Sci-Fi & Fantasy, Drama"
BoJack Horseman,2014,"Animation, Comedy"
The Bear,2022,"Drama, Comedy"
The 100,2014,"Sci-Fi & Fantasy, Drama"
Boys Over Flowers,2009,"Comedy, Drama"
Foundation,2021,"Sci-Fi & Fantasy, Drama"
Dororo,2019,"Animation, Action & Adventure"
Mare of Easttown,2021,"Drama, Mystery"
Marvel's Daredevil,2015,"Crime, Drama"
El Señor de los Cielos,2013,"Crime, Drama"
Castle,2009,"Drama, Crime"
Lupin,2021,"Crime, Drama"
Boruto: Naruto Next Generations,2017,"Action & Adventure, Animation"
Supergirl,2015,"Drama, Sci-Fi & Fantasy"
24,2001,"Action & Adventure, Drama"
Courage the Cowardly Dog,1999,"Animation, Family"
Scorpion,2014,"Action & Adventure, Drama"
MINDHUNTER,2017,"Drama, Crime"
Archer,2009,"Comedy, Action & Adventure"
Sweet Home,2020,"Sci-Fi & Fantasy, Action & Adventure"
Constantine,2014,"Action & Adventure, Drama"
Californication,2007,"Comedy, Drama"
The Boss Baby: Back in Business,2018,"Animation, Action & Adventure"
Naruto,2002,"Animation, Action & Adventure"
Under the Dome,2013,"Drama, Mystery"
Star Wars: The Clone Wars,2008,"Action & Adventure, Animation"
Halo,2022,"Sci-Fi & Fantasy, Action & Adventure"
Westworld,2016,"Sci-Fi & Fantasy, Western"
Who Killed Sara?,2021,"Drama, Crime"
Ben 10,2005,"Animation, Sci-Fi & Fantasy"
The Legend of Korra,2012,"Animation, Action & Adventure"
Narcos,2015,"Crime, Drama"
Banshee,2013,"Crime, Drama"
Elite,2018,"Crime, Mystery"
Firefly,2002,"Drama, Action & Adventure"
Fargo,2014,"Crime, Drama"
The Walking Dead,2010,"Action & Adventure, Drama"
Fleabag,2016,"Comedy, Drama"
13 Reasons Why,2017,"Drama, Mystery"
The Amazing World of Gumball,2011,"Animation, Family"
Fringe,2008,"Sci-Fi & Fantasy, Drama"
Attack on Titan,2013,"Animation, Sci-Fi & Fantasy"
DAHMER - Monster: The Jeffrey Dahmer Story,2022,"Crime, Drama"
Criminal Minds,2005,"Crime, Drama"
Star Trek: The Next Generation,1987,"Sci-Fi & Fantasy, Action & Adventure"
One Piece,1999,"Action & Adventure, Comedy"
Yellowstone,2018,"Western, Drama"
Ginny & Georgia,2021,"Comedy, Drama"
Chainsaw Man,2022,"Animation, Action & Adventure"
The Vampire Diaries,2009,"Drama, Sci-Fi & Fantasy"
Anne with an E,2017,"Drama, Family"
The Promised Neverland,2019,"Animation, Mystery"
Lucifer,2016,"Crime, Sci-Fi & Fantasy"
KONOSUBA - God's blessing on this wonderful world!,2016,"Action & Adventure, Animation"
Gravity Falls,2012,"Animation, Comedy"
Knight Rider,1982,"Action & Adventure, Drama"
Warrior Nun,2020,"Action & Adventure, Drama"
Dexter,2006,"Crime, Drama"
Batman: The Animated Series,1992,"Action & Adventure, Animation"
SEAL Team,2017,"Action & Adventure, Drama"
Regular Show,2010,"Animation, Comedy"
Supernatural,2005,"Drama, Mystery"
Siren,2018,"Sci-Fi & Fantasy, Drama"
Dragon Ball GT,1996,"Animation, Action & Adventure"
Ranma ½,1989,"Comedy, Action & Adventure"
CSI: Crime Scene Investigation,2000,"Crime, Drama"
Sword Art Online,2012,"Animation, Sci-Fi & Fantasy"
Miraculous: Tales of Ladybug & Cat Noir,2015,"Action & Adventure, Animation"
High School D×D,2012,"Animation, Action & Adventure"
Hazbin Hotel,2024,"Animation, Comedy"
Buffy the Vampire Slayer,1997,"Sci-Fi & Fantasy, Comedy"
Falling Skies,2011,"Action & Adventure, Sci-Fi & Fantasy"
The Book of Boba Fett,2021,"Action & Adventure, Sci-Fi & Fantasy"
Goblin,2016,"Drama, Sci-Fi & Fantasy"
Skins,2007,"Drama, Comedy"
Upload,2020,"Comedy, Sci-Fi & Fantasy"
Star Wars: Andor,2022,"Sci-Fi & Fantasy, Action & Adventure"
American Horror Story,2011,"Drama, Mystery"
Narcos: Mexico,2018,"Drama, Crime"
"Love, Death & Robots",2019,"Animation, Sci-Fi & Fantasy"
Brooklyn Nine-Nine,2013,"Comedy, Crime"
Snowpiercer,2020,"Sci-Fi & Fantasy, Drama"
Orange Is the New Black,2013,"Comedy, Drama"
Once,2017,"Comedy, Family"
Scream Queens,2015,"Mystery, Comedy"
9-1-1,2018,"Drama, Crime"
Desperate Housewives,2004,"Mystery, Drama"
The Man in the High Castle,2015,"Sci-Fi & Fantasy, Drama"
iZombie,2015,"Drama, Crime"
Succession,2018,"Drama, Comedy"
Dark,2017,"Crime, Drama"
SPY x FAMILY,2022,"Animation, Comedy"
Emily in Paris,2020,"Drama, Comedy"
Mr. Robot,2015,"Crime, Drama"
Marvel's Luke Cage,2016,"Drama, Sci-Fi & Fantasy"
Super Dragon Ball Heroes,2018,"Animation, Action & Adventure"
South Park,1997,"Animation, Comedy"
ONE PIECE,2023,"Action & Adventure, Sci-Fi & Fantasy"
Jujutsu Kaisen,2020,"Animation, Action & Adventure"
See,2019,"Drama, Sci-Fi & Fantasy"
FROM,2022,"Mystery, Drama"
Merlí,2015,"Comedy, Drama"
Record of Ragnarok,2021,"Animation, Action & Adventure"
La hija del Mariachi,2006,"Soap, Drama"
Sin senos sí hay paraíso,2016,"Action & Adventure, Crime"
Mi corazón es tuyo,2014,"Soap, Comedy"
Lost in Space,2018,"Sci-Fi & Fantasy, Action & Adventure"
Legion,2017,"Action & Adventure, Sci-Fi & Fantasy"
Your Honor,2020,"Drama, Crime"
Teen Titans,2003,"Animation, Action & Adventure"
BAKI,2018,"Animation, Action & Adventure"
Sons of Anarchy,2008,"Crime, Drama"
Victorious,2010,"Comedy, Kids"
Twin Peaks,1990,"Drama, Mystery"
The Flash,2014,"Drama, Sci-Fi & Fantasy"
El Chavo del Ocho,1973,"Comedy, Family"
House,2004,"Drama, Mystery"
Chucky,2021,"Crime, Comedy"
BEASTARS,2019,"Animation, Drama"
Mob Psycho 100,2016,"Animation, Action & Adventure"
Marvel's The Punisher,2017,"Action & Adventure, Crime"
Riverdale,2017,"Crime, Drama"
Stranger Things,2016,"Drama, Sci-Fi & Fantasy"
Tom Clancy's Jack Ryan,2018,"Action & Adventure, Drama"
True Blood,2008,"Sci-Fi & Fantasy, Drama"
Love Alarm,2019,"Drama, Sci-Fi & Fantasy"
Obi-Wan Kenobi,2022,"Sci-Fi & Fantasy, Action & Adventure"
S.W.A.T.,2017,"Crime, Action & Adventure"
Stargate SG-1,1997,"Sci-Fi & Fantasy, Action & Adventure"
Ted Lasso,2020,"Comedy, Drama"
The Boys,2019,"Sci-Fi & Fantasy, Action & Adventure"
Never Have I Ever,2020,"Comedy, Drama"
The Blacklist,2013,"Drama, Crime"
Defending Jacob,2020,"Drama, Mystery"
Saint Seiya,1986,"Animation, Drama"
Severance,2022,"Drama, Mystery"
ALF,1986,"Family, Comedy"
Arrow,2012,"Crime, Drama"
Breaking Bad,2008,"Drama, Crime"
Big Time Rush,2009,"Comedy, Kids"
Hannibal,2013,"Drama, Crime"
Death Note,2006,"Animation, Mystery"
The Rookie,2018,"Crime, Drama"
Person of Interest,2011,"Drama, Action & Adventure"
Preacher,2016,"Sci-Fi & Fantasy, Mystery"
Black Sails,2014,"Drama, Action & Adventure"
Gotham,2014,"Drama, Crime"
Black Clover,2017,"Action & Adventure, Animation"
Dragon Ball,1986,"Animation, Action & Adventure"
Marvel's Iron Fist,2017,"Action & Adventure, Drama"
La Reina del Sur,2011,"Drama, Crime"
Jurassic World Camp Cretaceous,2020,"Animation, Kids"
TONIKAWA: Over the Moon for You,2020,"Animation, Comedy"
WandaVision,2021,"Sci-Fi & Fantasy, Mystery"
Squid Game,2021,"Action & Adventure, Mystery"
Fallout,2024,"Sci-Fi & Fantasy, Action & Adventure"
Dark Desire,2020,"Mystery, Drama"
NCIS,2003,"Crime, Drama"
Daughter from Another Mother,2021,"Comedy, Drama"
Watchmen,2019,"Drama, Crime"
Altered Carbon,2018,"Sci-Fi & Fantasy, Drama"
Heroes,2006,"Sci-Fi & Fantasy, Drama"
Batwoman,2019,"Sci-Fi & Fantasy, Action & Adventure"
JoJo's Bizarre Adventure,2012,"Animation, Action & Adventure"
Tokyo Revengers,2021,"Drama, Animation"
Futurama,1999,"Animation, Comedy"
The Lord of the Rings: The Rings of Power,2022,"Action & Adventure, Sci-Fi & Fantasy"
Doctor Who,2005,"Action & Adventure, Drama"
The Tom and Jerry Show,1975,"Animation, Kids"
Sex Education,2019,"Comedy, Drama"
11.22.63,2016,"Drama, Sci-Fi & Fantasy"
The Pacific,2010,"Drama, Action & Adventure"
Money Heist,2017,"Crime, Drama"
1899,2022,"Mystery, Drama"
Fast & Furious Spy Racers,2019,"Animation, Action & Adventure"
American Dad!,2005,"Animation, Comedy"
The Sandman,2022,"Sci-Fi & Fantasy, Drama"
Lie to Me,2009,"Crime, Drama"
Ms. Marvel,2022,"Sci-Fi & Fantasy, Action & Adventure"
Ash vs Evil Dead,2015,"Comedy, Action & Adventure"
It,1990,"Mystery, Drama"
The Act,2019,"Drama, Crime"
Superman & Lois,2021,"Drama, Sci-Fi & Fantasy"
The Witcher,2019,"Sci-Fi & Fantasy, Drama"
