MediaName,ReleaseYear,Genres
The Usual Suspects,1995,"Drama, Crime"
Back to the Future,1985,"Adventure, Comedy"
Cruella,2021,"Comedy, Crime"
Pirates of the Caribbean: Dead Man's Chest,2006,"Adventure, Fantasy"
Oppenheimer,2023,"Drama, History"
The Matrix,1999,"Action, Science Fiction"
Insurgent,2015,"Action, Science Fiction"
The Wolverine,2013,"Action, Science Fiction"
Star Wars: The Last Jedi,2017,"Adventure, Action"
The Hobbit: The Desolation of Smaug,2013,"Fantasy, Adventure"
Twilight,2008,"Fantasy, Drama"
Skyfall,2012,"Action, Adventure"
Her,2013,"Romance, Science Fiction"
Inside Out,2015,"Animation, Family"
Dunkirk,2017,"War, Action"
Wreck-It Ralph,2012,"Family, Animation"
Batman Begins,2005,"Action, Crime"
Avatar: The Way of Water,2022,"Science Fiction, Adventure"
Spider-Man: Into the Spider-Verse,2018,"Animation, Action"
Now You See Me 2,2016,"Crime, Thriller"
Avengers: Age of Ultron,2015,"Action, Adventure"
Requiem for a Dream,2000,"Crime, Drama"
Room,2015,"Drama, Thriller"
Joker,2019,"Crime, Thriller"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family"
In Time,2011,"Action, Thriller"
Star Wars: Episode II - Attack of the Clones,2002,"Adventure, Action"
Unbreakable,2000,"Thriller, Drama"
Despicable Me 2,2013,"Animation, Comedy"
Bruce Almighty,2003,"Fantasy, Comedy"
Full Metal Jacket,1987,"Drama, War"
Guardians of the Galaxy Vol. 2,2017,"Science Fiction, Adventure"
Monsters University,2013,"Animation, Family"
Scarface,1983,"Action, Crime"
Captain America: The First Avenger,2011,"Action, Adventure"
Sonic the Hedgehog,2020,"Action, Science Fiction"
Aladdin,1992,"Animation, Family"
Star Trek Into Darkness,2013,"Action, Adventure"
The Silence of the Lambs,1991,"Crime, Drama"
The Incredible Hulk,2008,"Science Fiction, Action"
X-Men: First Class,2011,"Action, Science Fiction"
Indiana Jones and the Temple of Doom,1984,"Adventure, Action"
A Beautiful Mind,2001,"Drama, Romance"
Hacksaw Ridge,2016,"Drama, History"
The Empire Strikes Back,1980,"Adventure, Action"
Transformers,2007,"Adventure, Science Fiction"
The Godfather,1972,"Drama, Crime"
Godzilla vs. Kong,2021,"Action, Science Fiction"
The Pianist,2002,"Drama, War"
The Fate of the Furious,2017,"Action, Crime"
The Fast and the Furious,2001,"Action, Crime"
Call Me by Your Name,2017,"Romance, Drama"
Back to the Future Part III,1990,"Adventure, Comedy"
The Grand Budapest Hotel,2014,"Comedy, Drama"
Saw,2004,"Horror, Mystery"
Psycho,1960,"Horror, Thriller"
Split,2017,"Horror, Thriller"
12 Years a Slave,2013,"Drama, History"
World War Z,2013,"Action, Horror"
Maleficent,2014,"Fantasy, Adventure"
Terminator 2: Judgment Day,1991,"Action, Thriller"
Fantastic Four,2005,"Action, Fantasy"
Mr. & Mrs. Smith,2005,"Action, Comedy"
Kick-Ass,2010,"Action, Crime"
The Theory of Everything,2014,"Drama, Romance"
The Maze Runner,2014,"Action, Mystery"
Finding Nemo,2003,"Animation, Family"
Alita: Battle Angel,2019,"Action, Science Fiction"
Guardians of the Galaxy,2014,"Action, Science Fiction"
Spider-Man: No Way Home,2021,"Action, Adventure"
Whiplash,2014,"Drama, Music"
Frozen,2013,"Animation, Family"
Star Wars: Episode III - Revenge of the Sith,2005,"Adventure, Action"
Mulan,1998,"Animation, Family"
Mad Max: Fury Road,2015,"Action, Adventure"
Parasite,2019,"Comedy, Thriller"
Star Trek,2009,"Science Fiction, Action"
The Lion King,1994,"Family, Animation"
Django Unchained,2012,"Drama, Western"
Wonder Woman,2017,"Action, Adventure"
Once Upon a Time... in Hollywood,2019,"Comedy, Drama"
Suicide Squad,2016,"Action, Adventure"
Encanto,2021,"Animation, Comedy"
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,"Action, Crime"
Doctor Strange in the Multiverse of Madness,2022,"Fantasy, Action"
Home Alone 2: Lost in New York,1992,"Comedy, Family"
Spectre,2015,"Action, Adventure"
The Dark Knight,2008,"Drama, Action"
Brave,2012,"Animation, Adventure"
Troy,2004,"Adventure, History"
The Shawshank Redemption,1994,"Drama, Crime"
The Nightmare Before Christmas,1993,"Fantasy, Animation"
X-Men: Days of Future Past,2014,"Action, Adventure"
Mission: Impossible - Ghost Protocol,2011,"Action, Thriller"
Jaws,1975,"Horror, Thriller"
The Lord of the Rings: The Two Towers,2002,"Adventure, Fantasy"
Jurassic Park,1993,"Adventure, Science Fiction"
Pirates of the Caribbean: On Stranger Tides,2011,"Adventure, Action"
Iron Man 3,2013,"Action, Adventure"
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy"
Jurassic World: Fallen Kingdom,2018,"Action, Adventure"
Nightcrawler,2014,"Crime, Drama"
Jumanji: Welcome to the Jungle,2017,"Adventure, Comedy"
Looper,2012,"Action, Thriller"
Get Out,2017,"Mystery, Thriller"
Ready Player One,2018,"Adventure, Action"
The Godfather Part II,1974,"Drama, Crime"
Corpse Bride,2005,"Romance, Fantasy"
E.T. the Extra-Terrestrial,1982,"Science Fiction, Adventure"
Casino Royale,2006,"Adventure, Action"
The Mask,1994,"Romance, Comedy"
Hancock,2008,"Fantasy, Action"
Raiders of the Lost Ark,1981,"Adventure, Action"
Ant-Man,2015,"Science Fiction, Action"
Taxi Driver,1976,"Crime, Drama"
Me Before You,2016,"Drama, Romance"
Kingsman: The Golden Circle,2017,"Action, Adventure"
The Matrix Reloaded,2003,"Adventure, Action"
Toy Story,1995,"Animation, Adventure"
Die Hard,1988,"Action, Thriller"
2012,2009,"Action, Adventure"
Ant-Man and the Wasp,2018,"Action, Adventure"
1917,2019,"War, History"
Star Wars: The Force Awakens,2015,"Adventure, Action"
Blade Runner 2049,2017,"Science Fiction, Drama"
The Fault in Our Stars,2014,"Romance, Drama"
Black Swan,2010,"Drama, Thriller"
The Bourne Identity,2002,"Action, Drama"
The Avengers,2012,"Science Fiction, Action"
Harry Potter and the Philosopher's Stone,2001,"Adventure, Fantasy"
Man of Steel,2013,"Action, Adventure"
Iron Man,2008,"Action, Science Fiction"
Avengers: Infinity War,2018,"Adventure, Action"
Zootopia,2016,"Animation, Adventure"
Ratatouille,2007,"Animation, Comedy"
The Revenant,2015,"Western, Drama"
The Super Mario Bros. Movie,2023,"Animation, Family"
Zack Snyder's Justice League,2021,"Action, Adventure"
Logan,2017,"Action, Drama"
No Country for Old Men,2007,"Crime, Drama"
Knives Out,2019,"Comedy, Crime"
A Clockwork Orange,1971,"Science Fiction, Crime"
Ice Age: The Meltdown,2006,"Animation, Family"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Adventure, Action"
John Wick: Chapter 2,2017,"Action, Thriller"
Edge of Tomorrow,2014,"Action, Science Fiction"
Passengers,2016,"Drama, Romance"
Spider-Man: Homecoming,2017,"Action, Adventure"
Léon: The Professional,1994,"Crime, Drama"
Spider-Man,2002,"Action, Science Fiction"
Tenet,2020,"Action, Thriller"
The Intouchables,2011,"Drama, Comedy"
How to Train Your Dragon,2010,"Fantasy, Adventure"
Fifty Shades of Grey,2015,"Drama, Romance"
Silver Linings Playbook,2012,"Drama, Comedy"
Deadpool 2,2018,"Action, Comedy"
Slumdog Millionaire,2008,"Drama, Romance"
The Incredibles,2004,"Action, Adventure"
Alien,1979,"Horror, Science Fiction"
Avengers: Endgame,2019,"Adventure, Science Fiction"
Aquaman,2018,"Action, Adventure"
The Amazing Spider-Man 2,2014,"Action, Adventure"
X-Men,2000,"Adventure, Action"
Prisoners,2013,"Drama, Thriller"
Ted,2012,"Comedy, Fantasy"
X-Men: Apocalypse,2016,"Action, Adventure"
X-Men: The Last Stand,2006,"Adventure, Action"
Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy"
Soul,2020,"Animation, Family"
Miss Peregrine's Home for Peculiar Children,2016,"Fantasy, Adventure"
The Devil Wears Prada,2006,"Drama, Comedy"
Kill Bill: Vol. 2,2004,"Action, Crime"
Big Hero 6,2014,"Adventure, Family"
Toy Story 2,1999,"Animation, Comedy"
Venom: Let There Be Carnage,2021,"Science Fiction, Action"
Home Alone,1990,"Comedy, Family"
The Matrix Revolutions,2003,"Adventure, Action"
The Hunger Games,2012,"Science Fiction, Adventure"
Amélie,2001,"Comedy, Romance"
Fantastic Beasts and Where to Find Them,2016,"Fantasy, Adventure"
300,2007,"Action, Adventure"
Trainspotting,1996,"Drama, Crime"
Charlie and the Chocolate Factory,2005,"Adventure, Comedy"
Gladiator,2000,"Action, Drama"
Night at the Museum,2006,"Action, Adventure"
Godzilla,2014,"Action, Drama"
Frozen II,2019,"Family, Animation"
La La Land,2016,"Comedy, Drama"
Jojo Rabbit,2019,"Comedy, War"
Minions,2015,"Family, Animation"
The Hobbit: The Battle of the Five Armies,2014,"Action, Adventure"
Men in Black 3,2012,"Action, Comedy"
Furious 7,2015,"Action, Thriller"
John Wick,2014,"Action, Thriller"
Eternal Sunshine of the Spotless Mind,2004,"Science Fiction, Drama"
Inglourious Basterds,2009,"Drama, Thriller"
Ex Machina,2015,"Drama, Science Fiction"
Spider-Man: Far From Home,2019,"Action, Adventure"
Coco,2017,"Family, Animation"
The Fifth Element,1997,"Science Fiction, Action"
GoodFellas,1990,"Drama, Crime"
The Big Lebowski,1998,"Comedy, Crime"
Bird Box,2018,"Horror, Thriller"
Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy"
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy"
Limitless,2011,"Thriller, Mystery"
Inception,2010,"Action, Science Fiction"
Lucy,2014,"Action, Science Fiction"
Thor,2011,"Adventure, Fantasy"
Fury,2014,"War, Drama"
"Three Billboards Outside Ebbing, Missouri",2017,"Crime, Drama"
Maze Runner: The Scorch Trials,2015,"Science Fiction, Action"
The Green Mile,1999,"Fantasy, Drama"
Barbie,2023,"Comedy, Adventure"
The Twilight Saga: New Moon,2009,"Adventure, Fantasy"
Baby Driver,2017,"Action, Crime"
Dawn of the Planet of the Apes,2014,"Science Fiction, Action"
Kill Bill: Vol. 1,2003,"Action, Crime"
2001: A Space Odyssey,1968,"Science Fiction, Mystery"
Thor: The Dark World,2013,"Action, Adventure"
Titanic,1997,"Drama, Romance"
The Curious Case of Benjamin Button,2008,"Drama, Fantasy"
Indiana Jones and the Last Crusade,1989,"Adventure, Action"
Justice League,2017,"Action, Adventure"
The Hunger Games: Mockingjay - Part 2,2015,"Action, Adventure"
Captain Marvel,2019,"Action, Adventure"
Se7en,1995,"Crime, Mystery"
